shed_max,dispatch, xopt_pv,xopt_wind,xopt_sto,xopt_elyz, xopt_fc, xopt_hyTank, lcoe_opt, shed_rate_opt,Capex,O&M,Replacement,Opex,fc_hours,elyz_hours, fc_starts, elyz_starts, batt_cycles, ini_h2_level, ini_bat_level
0,1,4001,1800,5489,866,1537,16270,0.3592,0,25004844.8203637,6867146.09998599,2857429.86973628,9724575.96972227,1200,3583,125,233,161.902462329798,0.0140034524307916,0
0,2,6681,1800,262,1901,1423,17000,0.4136,0,28230930.972011,7497059.52944225,4291653.21425402,11788712.7436962,2897,4820,309,350,39.6972148695465,0.0132549373297595,0.160586896858666
0.00005,1,4001,1800,5489,865,1469,16255,0.357,4.99999958538492E-05,24887255.1749075,6822690.03387403,2804425.77056806,9627115.80444209,1199,3583,125,233,161.883008911862,0.0140163756918322,0
0.00005,2,6662,1800,221,1907,1404,16995,0.4127,4.99999755823422E-05,28169892.0795866,7476997.3799989,4278781.34056205,11755778.7205609,2905,4819,314,350,45.001617896008,0.0134066322286069,0
0.0001,1,4001,1800,5492,864,1435,16238,0.3559,9.99999956311513E-05,24823487.8563941,6799954.25496506,2777936.57088237,9577890.82584743,1198,3583,125,233,161.840728664363,0.0140316113310107,0
0.0001,2,6649,1800,198,1911,1389,16990,0.4121,9.99999470809183E-05,28127172.9075469,7463214.69398081,4270678.80615486,11733893.5001356,2910.7,4817.9,313.1,350.1,48.2850167765307,0.0133857065770843,0
0.00015,1,4001,1800,5496,863,1410,16218,0.3551,0.000149999987602115,24773103.7330967,6782763.70326483,2758197.32590547,9540961.02917031,1197.9,3582.1,125,233,161.786466566282,0.0140483731004399,0
0.00015,2,6612,1800,143,1925,1383,17012,0.4116,0.000149999965139055,28086448.9940762,7450864.28202845,4277278.22575851,11728142.5077869,2925,4812.1,316,351,60.1864432362476,0.0133455844890394,0
0.0002,1,4001,1800,5502,861,1393,16200,0.3545,0.000199999938820828,24737997.7492589,6771366.80287889,2745272.02697649,9516638.82985539,1197.2,3582.2,125,233.2,161.699469193907,0.0140553371085212,0
0.0002,2,6634,1800,187,1917,1363,16974,0.4111,0.000199999936536803,28064754.7964181,7443515.80160507,4256702.24244686,11700218.0440519,2921.5,4815.1,314,350.6,48.7013880132746,0.0133028198276477,0
0.00025,1,4003,1800,5503,860,1380,16182,0.354,0.000249999981291697,24707982.0639056,6761821.56026198,2734278.56044686,9496100.12070884,1197,3581.9,125,233,161.694145142991,0.0140199657665088,0
0.00025,2,6558,1800,131,1941,1362,17022,0.4107,0.000249999964039309,28014965.3132071,7431288.71702613,4283221.79040556,11714510.5074317,2933.7,4806.6,315.7,351,62.6102351748015,0.0132622604373505,0
0.0003,1,4000,1800,5509,860,1368,16166,0.3535,0.000299999916290962,24678617.8048211,6752874.83098673,2725061.80775583,9477936.63874256,1196.2,3580.2,125,232.3,161.586860920074,0.0139850243449603,0
0.0003,2,6575,1800,151,1935,1348,16990,0.4103,0.000299999910038272,27994324.5797489,7424446.82767781,4266063.86079337,11690510.6884711,2931.6,4807.4,315.6,350.9,57.317953536851,0.0132356966871887,0
0.00035,1,4006,1800,5511,857,1356,16144,0.3531,0.000349999962990643,24651630.1118076,6744289.16508158,2714134.80322382,9458423.96830541,1194.9,3582,124.2,232.9,161.605963899144,0.0139584071287826,0
0.00035,2,6563,1800,130,1939,1341,16986,0.4099,0.000349999971632147,27964542.8357104,7415394.58218183,4262217.61555992,11677612.1977417,2935.9,4806.3,315.9,351,62.0100682988002,0.0132107004400783,0
0.0004,1,4004,1800,5501,859,1344,16131,0.3527,0.000399999970498404,24624514.3547824,6735737.47056916,2705328.05800803,9441065.52857719,1196.9,3580,124.5,232.8,161.735766405281,0.0139261566978424,0
0.0004,2,6554,1800,130,1941,1331,16976,0.4095,0.00039999983329447,27935154.5385992,7407003.7713592,4257244.29888154,11664248.0702407,2937.7,4805,315.9,351,61.5135716379101,0.0131816734737417,0
0.00045,1,4001,1800,5497,861,1333,16118,0.3522,0.000449999910917223,24597120.9533938,6727325.92851122,2697016.28097429,9424342.20948552,1199.9,3577.6,125,232.5,161.757722621854,0.0138934653263343,0
0.00045,2,6552,1800,129,1941,1321,16961,0.4091,0.000449999901490681,27910188.5997505,7399596.07689734,4249918.48736396,11649514.5642613,2939.5,4804.9,318,351,61.0696787200565,0.0131585324302283,0
0.0005,1,4001,1800,5494,861,1322,16101,0.3518,0.000499999976296565,24570838.9449722,6719245.17307886,2688282.80621686,9407527.97929573,1199.3,3576.9,125,232.7,161.80077383122,0.0138657688127706,0
0.0005,2,6543,1800,130,1943,1312,16950,0.4087,0.000499999906337263,27882675.6859389,7392050.31576549,4246252.87712281,11638303.1928883,2941,4804.1,317,351,60.3488841770458,0.0131335947400608,0
0.00055,1,4008,1800,5499,857,1312,16076,0.3514,0.000549999943319705,24546657.4893298,6711857.37983186,2678241.69245328,9390099.07228515,1197.7,3579,124.7,233.4,161.784472487331,0.0138479727804043,0
0.00055,2,6544,1800,131,1941,1304,16934,0.4083,0.000549999951936053,27860872.1076354,7385462.16025474,4237537.67029205,11622999.8305467,2941.2,4803.9,317,351,60.2171343084424,0.0131159374803823,0
0.0006,1,4018,1800,5513,851,1303,16048,0.351,0.000599999968536661,24524896.2008121,6705373.43549717,2668623.321127,9373996.75662418,1193.8,3582.4,124.4,233.8,161.662044711763,0.01383619035852,0
0.0006,2,6543,1800,131,1941,1296,16917,0.408,0.000599999915935393,27838572.0272302,7379145.55938822,4230843.94245585,11609989.501844,2942,4803,317,351,59.7753271466904,0.0130987706773259,0
0.00065,1,4017,1800,5493,855,1294,16035,0.3507,0.000649999980041209,24502735.2499279,6698513.47158081,2661673.177448,9360186.64902881,1198.1,3580.4,125,234.5,161.938428911689,0.0138144521609482,0
0.00065,2,6538,1800,132,1942,1288,16910,0.4077,0.000649999962589912,27818098.820767,7373095.35681552,4226283.9165591,11599379.2733746,2943,4803,317,351,59.2157937706689,0.0130775335283875,0
0.0007,1,4038,1800,5435,858,1286,16009,0.3504,0.000699999939158705,24486289.393517,6691486.14787916,2649236.58761516,9340722.73549433,1204.3,3587.3,126,236.8,162.898130524685,0.0138036076643241,0
0.0007,2,6534,1800,136,1942,1281,16896,0.4074,0.000699999919509066,27797087.6367372,7367386.93405486,4221569.85079929,11588956.7848541,2943,4802,316,351,57.5762255491783,0.0130602793875994,0
0.00075,1,4036,1800,5429,860,1278,15997,0.3501,0.000749999902255932,24464655.917962,6685040.51183606,2643079.22257518,9328119.73441125,1206,3585.6,126.1,236.6,162.958861345578,0.0137822562318094,0
0.00075,2,6546,1800,140,1938,1273,16873,0.4071,0.00074999988695244,27781537.6479471,7362310.36689585,4209390.93401234,11571701.3009081,2944,4802.8,316.3,351,55.7821830511815,0.01304885485263,0
0.0008,1,4045,1800,5425,857,1270,15974,0.3497,0.000799999903426643,24444534.701218,6678686.8068432,2633977.31612961,9312664.12297281,1204.6,3589.1,126,237,163.08000873576,0.0137700719668516,0
0.0008,2,6533,1800,126,1942,1268,16868,0.4068,0.000799999933667583,27756928.3129091,7355679.84189918,4209372.01299571,11565051.8548949,2947.5,4801.4,317,351,60.6100421604583,0.0130333328960315,0
0.00085,1,4043,1800,5413,859,1262,15960,0.3494,0.000849999938479441,24422736.0555147,6672293.14119319,2628052.85659759,9300345.99779079,1207.4,3588,127.5,236.7,163.209842910805,0.0137508264957884,0
0.00085,2,6538,1800,132,1939,1260,16849,0.4065,0.000849999951888849,27739280.0055206,7350336.96227163,4199966.3056047,11550303.2678763,2946.8,4802,317,351,58.3579084441842,0.0130192620085278,0
0.0009,1,4043,1800,5410,860,1254,15945,0.3491,0.000899999892062874,24402144.9320123,6666310.63155575,2621727.29162085,9288037.9231766,1208.2,3586.3,127.6,236.6,163.256233130317,0.0137341398243901,0
0.0009,2,6535,1800,125,1940,1254,16838,0.4062,0.000899999948652802,27718608.5049036,7344516.46815747,4195859.93503286,11540376.4031903,2948.1,4801.8,317,351,60.9412829704829,0.0130067028410948,0
0.00095,1,4037,1800,5408,862,1247,15935,0.3488,0.000949999967665459,24381072.8246319,6660480.56569603,2616919.50814598,9277400.07384202,1210.1,3581.1,127.5,236.7,163.243941232037,0.0137140665375648,0
0.00095,2,6538,1800,130,1939,1247,16824,0.406,0.000949999957770218,27703302.7291421,7339785.80364081,4188282.23665956,11528068.0403003,2949.1,4801.8,316.7,351,58.1420844805293,0.0129909983705977,0
0.001,1,4033,1800,5406,863,1240,15923,0.3485,0.000999999967000278,24360315.9668474,6654652.91169439,2611802.52473246,9266455.43642685,1211.6,3578.3,127.8,236.4,163.24057298665,0.0136957191171764,0
0.001,2,6546,1800,132,1935,1241,16805,0.4057,0.000999999954312866,27687885.6207392,7334861.01215874,4177689.07963645,11512550.0917951,2948.2,4802,316.4,351,57.691414202439,0.0129809861272709,0

